(span, naps)
(seracs, scares)
(mart, tram)
(nona, anon)
(spirts, strips)
(stab, bats)
(snoop, poons)
(sab, bas)
(agenes, senega)
(derat, tared)
(yaps, spay)
(ervil, livre)
(gnats, stang)
(maes, seam)
(spar, raps)
(seed, dees)
(bots, stob)
(dag, gad)
(jar, raj)
(oat, tao)
(bal, lab)
(prod, dorp)
(sned, dens)
(tae, eat)
(spin, nips)
(net, ten)
(drub, burd)
(paw, wap)
(raw, war)
(mural, larum)
(deem, meed)
(at, ta)
(plug, gulp)
(timed, demit)
(avo, ova)
(sprits, stirps)
(emir, rime)
(moor, room)
(reflow, wolfer)
(levins, snivel)
(stime, emits)
(top, pot)
(bin, nib)
(pas, sap)
(do, od)
(bed, deb)
(sima, amis)
(fled, delf)
(soda, ados)
(saved, devas)
(it, ti)
(tressed, dessert)
(seep, pees)
(edit, tide)
(me, em)
(trig, girt)
(lotos, sotol)
(dups, spud)
(gel, leg)
(but, tub)
(snoot, toons)
(las, sal)
(ref, fer)
(gnaws, swang)
(mot, tom)
(lares, seral)
(rats, star)
(brag, garb)
(sirra, arris)
(yak, kay)
(pans, snap)
(gid, dig)
(sub, bus)
(dah, had)
(strow, worts)
(ergo, ogre)
(alif, fila)
(trow, wort)
(swam, maws)
(am, ma)
(os, so)
(spacer, recaps)
(keels, sleek)
(straw, warts)
(repaid, diaper)
(deep, peed)
(lee, eel)
(bals, slab)
(spat, taps)
(mat, tam)
(nut, tun)
(dib, bid)
(snub, buns)
(terces, secret)
(tar, rat)
(ray, yar)
(tarps, sprat)
(sloid, diols)
(yaw, way)
(an, na)
(stinker, reknits)
(scam, macs)
(snoops, spoons)
(eh, he)
(prat, tarp)
(leud, duel)
(dam, mad)
(guns, snug)
(snawed, dewans)
(snaw, wans)
(sob, bos)
(don, nod)
(stums, smuts)
(bad, dab)
(marcs, scram)
(spans, snaps)
(seme, emes)
(steek, keets)
(ah, ha)
(spots, stops)
(oh, ho)
(diva, avid)
(loots, stool)
(repel, leper)
(yap, pay)
(cud, duc)
(pals, slap)
(rebut, tuber)
(swob, bows)
(lion, noil)
(sat, tas)
(smug, gums)
(elides, sedile)
(spools, sloops)
(cares, serac)
(spit, tips)
(gib, big)
(yam, may)
(map, pam)
(ranid, dinar)
(steels, sleets)
(knar, rank)
(dot, tod)
(draw, ward)
(eked, deke)
(strap, parts)
(mid, dim)
(solon, nolos)
(kips, spik)
(not, ton)
(pets, step)
(bun, nub)
(res, ser)
(tow, wot)
(teemer, remeet)
(loop, pool)
(dirts, strid)
(depot, toped)
(pis, sip)
(reel, leer)
(neep, peen)
(stub, buts)
(cam, mac)
(ports, strop)
(til, lit)
(stag, gats)
(rod, dor)
(sway, yaws)
(revel, lever)
(stow, wots)
(smart, trams)
(dos, sod)
(ante, etna)
(eta, ate)
(elide, edile)
(paws, swap)
(abut, tuba)
(pig, gip)
(gut, tug)
(bag, gab)
(muts, stum)
